# Threat Intelligence Feed - Mixed Indicators
# Source: Indicators derived from pulses collected via the AlienVault OTX platform
# Format: CSV
# Description:
# This dataset contains threat intelligence indicators observed from various honeypot
# deployments and community threat feeds. Indicators may include IPv4 addresses or
# cryptographic file hashes associated with suspicious or malicious activity.
# Column : indicator,type,valid_from,name

# Data Source Platform:
# AlienVault Open Threat Exchange (OTX)

# Feed Context:
# The data originates from multiple honeypot sensors and threat intelligence pulses,
# including SSH brute-force monitoring and honeypot frameworks such as Cowrie,
# Honeytrap, CiscoASA honeypot logs, Dionaea, ConPot, Heralding, Tanner, and others.

0688cc275ab3e2fcef694bc6e8eb8da3c46e26c6a5aeb4e62081dbaabef83f93,SHA-256,"2026-03-09 08:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
cccc449ccf8d1984124126e24e3f170af3334e503a6d8f6695930e04a3c942b3,SHA-256,"2026-03-09 08:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
a8a1175f70aa045a6e65c59ddd992f9330e056e054570cbb7b9eddf53e25abdc,SHA-256,"2026-03-09 08:15:34",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
4d069b1435423ea5ce47e21905b1ad2f164b96287e7ee544bf0196363888e2b5,SHA-256,"2026-03-09 09:15:09",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
56fae2e843ba48d2de945600fd035068abcd4a510de6bc8393736d86ac2a5a7c,SHA-256,"2026-03-09 09:30:16",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
188.16.97.56,ipv4-addr,"2026-03-09 09:45:12",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
4fcc6cc2cf417004750f7c5ea7057fc40e61be979edb3046993eec7584ef1372,SHA-256,"2026-03-09 09:45:12",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
31014f0e034de6e1af91da122d0acecd1a2e6432871549e67f6bdec643e558bb,SHA-256,"2026-03-09 10:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
134.209.147.139,ipv4-addr,"2026-03-09 10:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
338c251d8e1530af76267d053ab779d80a0380930549c137dd90ef6add0ce42a,SHA-256,"2026-03-09 10:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
5b8a48d6b3408b78a11e7716980273a2d088e797abda4d18fbc24ab6108777f4,SHA-256,"2026-03-09 10:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
76ebd4f78e11f5bb3c1da7fb142fee7cfc3b3eba017552cba373fff0649c84cf,SHA-256,"2026-03-09 10:00:07",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie
62.146.237.25,ipv4-addr,"2026-03-08 13:31:33",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Redishoneypot
154.118.228.190,ipv4-addr,"2026-03-09 02:00:29",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Redishoneypot
104.207.36.167,ipv4-addr,"2026-03-06 20:30:21",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
104.207.34.137,ipv4-addr,"2026-03-06 20:45:37",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
45.3.36.127,ipv4-addr,"2026-03-06 22:15:17",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
65.111.12.6,ipv4-addr,"2026-03-07 11:00:17",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
104.207.37.99,ipv4-addr,"2026-03-07 11:31:04",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
65.111.7.227,ipv4-addr,"2026-03-07 12:00:16",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
104.207.39.165,ipv4-addr,"2026-03-07 13:15:25",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
216.26.236.242,ipv4-addr,"2026-03-07 13:45:22",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
65.111.3.5,ipv4-addr,"2026-03-07 18:00:13",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
216.26.228.176,ipv4-addr,"2026-03-07 19:00:23",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
65.111.9.3,ipv4-addr,"2026-03-08 10:15:30",OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa
