# Threat Intelligence Indicator Feed
# Source: James Brine STIX dataset (converted from STIX 2.x to CSV)
# Description: This dataset contains cyber threat indicators extracted from STIX Indicator objects.
# Each row represents a single indicator associated with malicious activity such as brute-force attacks.

# Column Descriptions:
# id            : Internal numeric identifier for the indicator record generated during the STIX-to-CSV conversion process.
# indicator_id  : STIX Indicator Object ID (format: indicator--UUID). This uniquely identifies the indicator in the STIX dataset.
# indicator     : The observable value extracted from the STIX pattern. In this dataset it represents an IPv4 address used in malicious activity.
# valid_from    : Timestamp indicating when the indicator became valid or was first observed in threat intelligence.
# created       : Timestamp when the STIX indicator object was originally created.
# modified      : Timestamp when the STIX indicator object was last modified or updated.
# name          : Human-readable label describing the threat activity associated with the indicator.

# Timestamp Format:
# All timestamps follow the format: YYYY-MM-DD HH:MM:SS (UTC unless otherwise specified).

# Indicator Type:
# Most indicators in this dataset represent IPv4 addresses associated with brute-force attacks
# such as SSH or NTP service scanning.

# Data Origin:
# Converted from STIX 2.x objects into CSV format for easier querying, analytics, and SIEM ingestion.

# Note:
# Duplicate indicators may exist if the same observable was reported at different times or associated
# with different STIX objects.


"id","indicator_id","indicator","valid_from","created","modified","name"
"64176607","indicator--b6c1a125-e66a-4df3-ae99-ef1eb07d36ec","106.55.61.15","2020-08-08 21:28:23","2020-08-09 05:28:23","2020-08-09 05:28:23","SSH Bruteforce Host"
"64171082","indicator--5634beea-47d6-4679-ba19-908b4c0d9198","2.57.122.98","2020-08-09 21:28:06","2020-08-10 05:28:06","2020-08-10 05:28:06","ntp Bruteforce Host"
"64176704","indicator--853e98ba-bfd0-4496-ae07-464d89b64b81","34.91.189.40","2020-08-09 21:28:06","2020-08-10 05:28:06","2020-08-10 05:28:06","ntp Bruteforce Host"
"64176795","indicator--1aaa50d5-e39f-4143-b7f3-6664007424c7","34.125.19.49","2020-08-09 21:28:06","2020-08-10 05:28:06","2020-08-10 05:28:06","ntp Bruteforce Host"
"64176763","indicator--e8adeb05-5215-4de3-a75c-1e695c824f6a","182.61.44.2","2020-08-09 21:28:06","2020-08-10 05:28:06","2020-08-10 05:28:06","SSH Bruteforce Host"
"64176704","indicator--8eaf7c38-807b-433b-91a9-66d2fc9d37b4","34.91.189.40","2020-08-10 21:26:35","2020-08-11 05:26:35","2020-08-11 05:26:35","ntp Bruteforce Host"
"64171067","indicator--ddb4eb51-aab5-4825-87b2-46f7e7474bfb","54.39.215.32","2020-08-10 21:26:35","2020-08-11 05:26:35","2020-08-11 05:26:35","ntp Bruteforce Host"
"64177017","indicator--6cbe047d-b5d0-4b6b-827f-f02f2b765800","51.195.53.6","2020-08-10 21:26:35","2020-08-11 05:26:35","2020-08-11 05:26:35","SSH Bruteforce Host"
"64176905","indicator--d74144f5-77bd-43a7-a18e-4b2c42980fb5","49.234.43.39","2020-08-11 21:24:11","2020-08-12 05:24:11","2020-08-12 05:24:11","SSH Bruteforce Host"
"64177282","indicator--73d04013-7e90-4a60-ab58-66700e908915","122.51.70.17","2020-08-11 21:24:11","2020-08-12 05:24:11","2020-08-12 05:24:11","SSH Bruteforce Host"
"64176319","indicator--c347dcb2-49e2-4d77-a7b7-028585d85ac3","189.4.2.58","2020-08-11 21:24:11","2020-08-12 05:24:11","2020-08-12 05:24:11","SSH Bruteforce Host"
"64177603","indicator--2380219b-34e1-4da1-a639-25487d2ee12a","118.24.33.38","2020-08-12 20:32:39","2020-08-13 04:32:39","2020-08-13 04:32:39","SSH Bruteforce Host"
"64177458","indicator--96bc2051-0a1b-40a5-b481-017de90cfa84","119.40.33.22","2020-08-12 20:32:39","2020-08-13 04:32:39","2020-08-13 04:32:39","SSH Bruteforce Host"
"64177499","indicator--362d2e04-3059-4a97-bfa4-8a85cb80a5a4","167.99.99.10","2020-08-12 20:32:39","2020-08-13 04:32:39","2020-08-13 04:32:39","SSH Bruteforce Host"
"64177689","indicator--7bdf95a6-fdc9-4e43-b2f0-4b032cd338b2","1.71.129.108","2020-08-13 20:39:00","2020-08-14 04:39:00","2020-08-14 04:39:00","SSH Bruteforce Host"
"64177859","indicator--c30a52da-e324-48c1-83b8-053bbe513d59","1.203.173.49","2020-08-14 18:29:40","2020-08-15 02:29:40","2020-08-15 02:29:40","SSH Bruteforce Host"
"64176611","indicator--dfddf50c-d238-4029-bb04-2d7143fa721b","5.135.94.191","2020-08-14 18:29:40","2020-08-15 02:29:40","2020-08-15 02:29:40","SSH Bruteforce Host"
"64170842","indicator--0896bb5b-4d78-431e-a1e7-1979f9ed9e09","5.196.8.72","2020-08-14 18:29:40","2020-08-15 02:29:40","2020-08-15 02:29:40","SSH Bruteforce Host"
"64177956","indicator--aabdbcf5-bb74-404e-ad32-bbec7b2da571","106.13.30.99","2020-08-14 18:29:40","2020-08-15 02:29:40","2020-08-15 02:29:40","SSH Bruteforce Host"
"64178061","indicator--7c8162de-a0a1-4db0-a7df-18e01ac1271a","139.59.7.225","2020-08-15 20:57:28","2020-08-16 04:57:28","2020-08-16 04:57:28","SSH Bruteforce Host"
"64177994","indicator--6d2775e6-98f3-4803-81b2-8cc9047eb5ef","139.59.12.65","2020-08-15 20:57:28","2020-08-16 04:57:28","2020-08-16 04:57:28","SSH Bruteforce Host"
"64178307","indicator--a3604763-6f0b-46ae-9efe-123afe2fb9d4","1.119.195.58","2020-08-16 19:31:00","2020-08-17 03:31:00","2020-08-17 03:31:00","SSH Bruteforce Host"
"64178171","indicator--f0611b28-a869-4d37-8029-384feb4dc91f","5.39.88.60","2020-08-16 19:31:00","2020-08-17 03:31:00","2020-08-17 03:31:00","SSH Bruteforce Host"
"64178073","indicator--d6785fb5-ba6a-4251-b424-3d9780f9084c","62.92.48.242","2020-08-16 19:31:00","2020-08-17 03:31:00","2020-08-17 03:31:00","SSH Bruteforce Host"
"64170755","indicator--03cd9efa-96d0-4f0e-a6da-c66f6804c736","62.215.6.11","2020-08-16 19:31:00","2020-08-17 03:31:00","2020-08-17 03:31:00","SSH Bruteforce Host"
"64178338","indicator--51f6ed21-0e95-4f49-83b1-a5bcd5467e4a","1.6.103.18","2020-08-17 20:08:22","2020-08-18 04:08:22","2020-08-18 04:08:22","SSH Bruteforce Host"
"64178365","indicator--df075afe-29b6-4435-a42d-6dbeaf856ed7","106.12.82.22","2020-08-17 20:08:22","2020-08-18 04:08:22","2020-08-18 04:08:22","SSH Bruteforce Host"
